UID,Status,RTT_ms,ResponseHex,Note
1,Active,0,000100000006010800001234,OK
2,Rejected,31,00020000000302800b,Validation failed
3,Rejected,0,00030000000303800b,Validation failed
4,Rejected,16,00040000000304800b,Validation failed
5,Rejected,0,00050000000305800b,Validation failed
6,Rejected,0,00060000000306800b,Validation failed
7,Rejected,16,00070000000307800b,Validation failed
8,Rejected,0,00080000000308800b,Validation failed
9,Rejected,0,00090000000309800b,Validation failed
10,Rejected,0,000a000000030a800b,Validation failed
11,Rejected,0,000b000000030b800b,Validation failed
12,Rejected,16,000c000000030c800b,Validation failed
13,Rejected,0,000d000000030d800b,Validation failed
14,Rejected,0,000e000000030e800b,Validation failed
15,Rejected,15,000f000000030f800b,Validation failed
16,Rejected,30,00100000000310800b,Validation failed
